id,company_rank,employee_count,company,url,state,state_code,city,metro,growth_percent,revenue_usd,industry,years_on_inc5000
26172,589,87,"Collective Bias",collective-bias,Arkansas,AR,Bentonville,"Fayetteville-Springdale-Rogers AR-MO",809.9576,15584972,"Advertising & Marketing",1
23469,590,41,GiaSpace,giaspace,Florida,FL,"Fort Lauderdale",Miami,809.3824,5297989,"IT Services",2
19565,591,110,4moms,4moms,Pennsylvania,PA,Pittsburgh,"Pittsburgh PA",806.709,30484273,"Consumer Products & Services",4
25311,592,8,"PSG Construction",psg-construction,Georgia,GA,Atlanta,Atlanta,806.4316,4689850,Construction,1
23305,593,10,"Kyzen Consulting Services",kyzen-consulting-services,Florida,FL,"West Palm Beach",Miami,805.8606,2000258,"Government Services",2
26545,594,132,"Exact Care Pharmacy",exact-care-pharmacy,Ohio,OH,"Valley View",Cleveland,805.3339,49607854,Health,1
26506,595,35,iFixYouri,ifixyouri,Florida,FL,"Palm Beach Gardens",Miami,802.0383,2157432,Retail,1
23466,596,10,Benztown,benztown,California,CA,Burbank,"Los Angeles",796.4922,2515109,Media,2
26281,597,30,Kettle,kettle,"New York",NY,"New York","New York City",795.5494,6003584,"Advertising & Marketing",1
22895,598,0,"MileStone Community Builders",milestone-community-builders,Texas,TX,Austin,Austin,795.3091,88777494,"Real Estate",2
25073,599,41,"Scotlynn USA Division",scotlynn-usa-division,Florida,FL,"Fort Myers","Cape Coral-Fort Myers FL",793.4531,39628078,"Logistics & Transportation",1
22964,600,88,CashStar,cashstar,Maine,ME,Portland,"Portland-South Portland-Biddeford ME",791.6667,15836000,Software,2
25252,601,38,Hathway,hathway,California,CA,"San Luis Obispo","San Luis Obispo-Paso Robles CA",790.7559,4190463,"Advertising & Marketing",1
26094,602,37,"Iron Tribe Fitness",iron-tribe-fitness,Alabama,AL,Birmingham,"Birmingham-Hoover AL",790.3194,4011067,Health,1
25300,603,5,"Spa Enrichment Strategies",spa-enrichment-strategies,"New Mexico",NM,Albuquerque,"Albuquerque NM",790.275,2102064,"Consumer Products & Services",1
23031,604,75,Silencerco,silencerco,Utah,UT,"West Valley City","Salt Lake City",787.7237,10753947,"Consumer Products & Services",2
24681,605,63,"Corps Solutions",corps-solutions,Virginia,VA,Stafford,"Washington DC",785.5716,8194805,"Government Services",1
23265,606,95,"Scepter Technologies",scepter-technologies,Maryland,MD,"Owings Mills",Baltimore,783.3858,10242452,"IT Services",2
25719,607,200,"VForce Infotech",vforce-infotech,"New Jersey",NJ,Iselin,"New York City",782.9693,16490000,"IT Services",1
26096,608,45,"K&L Green Operations",kl-green-operations,"New York",NY,Copiague,"New York City",782.208,5145337,Energy,1
24912,609,14,"Little Passports",little-passports,California,CA,"San Francisco","San Francisco",779.7741,2351909,"Consumer Products & Services",1
